name,dg_c2_pb_mean,dg_c2_gb_mean,dg_ie_pb_mean,dg_ie_gb_mean,dg_qh_pb_mean,dg_qh_gb_mean,dg_en_pb_mean,dg_en_gb_mean,c2_pb_mean,c2_gb_mean,ie_pb_mean,ie_gb_mean,qh_mean,dg_c2_pb_sem,dg_c2_gb_sem,dg_ie_pb_sem,dg_ie_gb_sem,dg_qh_pb_sem,dg_qh_gb_sem,dg_en_pb_sem,dg_en_gb_sem,c2_pb_sem,c2_gb_sem,ie_pb_sem,ie_gb_sem,qh_sem,num_replicas,total_samples
lig_20667_2qbp,88.80435634920642,69.20505160736515,-66.85636990079358,-86.45567464263486,,,-86.12013031746025,-105.71943505930152,174.92448666666667,174.92448666666667,19.263760416666667,19.263760416666667,,10.2996339581311,10.24143729814543,1.0417383685716262,1.0039018154529378,,,0.5466643048292757,0.54341800054614,10.262803714003345,10.262803714003345,0.9008693299429235,0.9008693299429235,,3,60
lig_20669_2qbr,70.80385309523813,66.97328100488886,-61.09595857142855,-64.9265306617778,,,-77.3230002380952,-81.15357232844447,148.12685333333332,148.12685333333332,16.227041666666665,16.227041666666665,,7.706670212301695,7.72179959079446,0.8161916730184746,0.8261403758796206,,,0.3760004073478498,0.42927132232292065,7.691254153287371,7.691254153287371,0.7145139972188322,0.7145139972188322,,3,60
lig_20670_2qbs,60.039835714285736,56.43990796507939,-60.19670345238093,-63.79663120158728,,,-76.59651595238093,-80.19644370158727,136.63635166666666,136.63635166666666,16.3998125,16.3998125,,7.495811199079836,7.517616957280676,0.966929154382399,0.9471087861403479,,,0.34435835940664516,0.3238426880213025,7.628474855042394,7.628474855042394,0.911924658307086,0.911924658307086,,3,60
lig_23466,76.78514793650798,74.36670340038103,-60.22228164682534,-62.640726182952314,,,-78.29220873015866,-80.71065326628565,155.07735666666667,155.07735666666667,18.069927083333333,18.069927083333333,,9.126743199067876,9.075342803241275,1.3495068388350235,1.3534258809688005,,,1.0472192156368623,1.0395082282760786,8.867345419244053,8.867345419244053,0.8777594725351033,0.8777594725351033,,3,60
lig_23467,71.41514809523807,68.54984260717455,-58.60709190476193,-61.47239739282544,,,-73.58655023809526,-76.45185572615877,145.00169833333334,145.00169833333334,14.979458333333334,14.979458333333334,,9.629345821224343,9.644613298878511,0.8083347815495084,0.8157973631718863,,,0.3682319786613987,0.38775113642429476,9.648042718170123,9.648042718170123,0.8279004323840032,0.8279004323840032,,3,60
lig_23468,68.21647603174593,65.54850545853961,-59.5495010515874,-62.21747162479373,,,-76.62244896825406,-79.2904195414604,144.838925,144.838925,17.072947916666667,17.072947916666667,,7.497126425987608,7.501036713289411,0.8240449233246582,0.8362683286942895,,,0.33878129637313276,0.37240719237191916,7.458642773549461,7.458642773549461,0.7736283515302529,0.7736283515302529,,3,60
lig_23469,82.24881769841268,77.84231655111108,-56.978038134920666,-61.38453928222225,,,-74.906558968254,-79.31306011555557,157.15537666666665,157.15537666666665,17.928520833333334,17.928520833333334,,7.579180459570356,7.60525324700795,0.8854449747152003,0.8796631765465437,,,0.2810769036192047,0.28451881162581094,7.590578628370982,7.590578628370982,0.8551145966859968,0.8551145966859968,,3,60
lig_23470,74.95943984126981,71.90593071822221,-59.56446015873019,-62.6179692817778,,,-75.8978351587302,-78.9513442817778,150.857275,150.857275,16.333375,16.333375,,7.595164729456312,7.562453765265397,0.9540049703419162,0.8928051428382584,,,0.3471064342986085,0.3011695638181817,7.639184849695119,7.639184849695119,0.8108374709297612,0.8108374709297612,,3,60
lig_23471,86.61227134920631,84.30569549257139,-56.02831240079368,-58.33488825742861,,,-73.77821865079368,-76.08479450742861,160.39048999999997,160.39048999999997,17.74990625,17.74990625,,9.759690081043422,9.770434527888993,0.9169249654551906,0.885094441533026,,,0.25693246296768685,0.27484193654995626,9.798407003428965,9.798407003428965,0.9169475545296957,0.9169475545296957,,3,60
lig_23472,78.33392031746034,75.35119427771433,-61.16841009920632,-64.15113613895234,,,-77.61685801587299,-80.599584055619,155.95077833333332,155.95077833333332,16.448447916666666,16.448447916666666,,7.24660384542009,7.195348317851682,0.8380150978890663,0.8482797029360072,,,0.3578820074401828,0.46559697797390914,7.293000580793374,7.293000580793374,0.8039746819490927,0.8039746819490927,,3,60
