,index,ligand,MBAR,MBAR_sem,MBAR_uncertainty_propagation,MBAR_num_replicas,TI,TI_sem,TI_uncertainty_propagation,TI_num_replicas
0,3,ligand-14,-14.388003363350768,0.6267424547585219,0.09629539646466728,5,-14.306473559987268,0.6909508155176959,0.09654537030611866,5
1,7,ligand-16,-14.186566604222154,0.6445506111650008,0.09440292103836238,5,-14.063389844526679,0.6749075010493181,0.09373229499563712,5
2,8,ligand-2,-13.081101613644844,0.3652575195860266,0.07654122704584852,5,-12.710122196394106,0.3813213647309113,0.07911974023814579,5
3,2,ligand-39,-12.165485680318373,0.930602710969915,0.06947666040989033,5,-12.001985703984895,0.8984922987359918,0.07068033123185781,5
4,6,ligand-40,-9.36444390634183,0.5783928910346319,0.07535660622449854,5,-9.305270874136596,0.591152332997076,0.07670881615023753,5
5,5,ligand-27,-8.988786567087704,1.1568956345437629,0.06993944633495454,5,-8.755178350097989,1.079683136293486,0.07215193734802038,5
6,1,ligand-8,-6.371722734169886,1.4504809759721102,0.056758167024753614,5,-6.414684632019764,1.3022909628371158,0.062029919125421384,5
7,0,ligand-4,-5.226145421602487,0.45558015156362686,0.05105160975477106,5,-5.027427133232877,0.4749492973288024,0.055341866956092695,5
8,4,ligand-7,-5.173674921073175,0.2411651672560113,0.04759464024098488,5,-4.892363338153432,0.2171982942311134,0.052553538466292564,5
9,9,ligand-3,-3.927039581743544,0.6886370153197765,0.049376144482407416,5,-9.465221167503032,5.229358524634243,0.24233905318490026,5
