,ligand,MBAR,MBAR_sem,MBAR_uncertainty_propagation,MBAR_num_replicas,TI,TI_sem,TI_uncertainty_propagation,TI_num_replicas
0,lig_1a,-8.553821144216437,0.623535157865295,0.10367479663612086,3,-8.567276398846753,0.5248453171637174,0.10696130183079403,3
1,lig_1b,-9.489163785246966,0.7224634583201273,0.10662098112467323,3,-8.901985528524857,0.9588731689323162,0.10873772938674327,3
2,lig_1c,-9.473327798166167,0.9877061691783008,0.10765745344881446,3,-9.342772168479314,0.8784986445358601,0.10875064716679214,3
3,lig_1d,-7.523732724098688,1.5397073366715575,0.10850184104166409,3,-7.685374973918736,1.3275470871228903,0.11034615484606365,3
4,lig_2a,-7.958464618233325,1.562810089262028,0.10972594662486684,3,-7.85460179868835,1.531217857946624,0.11125259998310598,3
5,lig_2b,-6.8193791217447135,1.9052356748906076,0.1109170212218261,3,-6.964871471948453,1.6886608487985304,0.11290739185008887,3
6,lig_2c,-6.427024178360764,0.48734067501881867,0.1118065486361638,3,-6.798998124843571,0.5231476619725733,0.11481670806250296,3
7,lig_2d,-6.556012921191354,0.9223199192950917,0.1079789646404946,3,-6.389392942626375,0.7850081591440295,0.1104079536452902,3
8,lig_2e,-10.460116966674244,1.5326544838471028,0.11127999914246853,3,-10.343414576081,1.5111442268635322,0.11039710644912364,3
9,lig_3a,-9.146180406974029,1.9746572770964348,0.10920817469442412,3,-9.208842073504803,1.8885202037261053,0.11138253117533169,3
10,lig_3b,-7.789013848348556,0.9121405834982771,0.10733610735506866,3,-7.851110627388245,0.7050253973057015,0.10814363414180937,3
11,lig_4,-21.125629793539982,0.977226328369701,0.1327042954080918,3,-20.95105719673162,0.8296085223871221,0.13189161136513836,3
12,lig_5,-4.1892676352393705,0.5035401039952081,0.10386039435038676,3,-4.292627665114634,0.7095515577532657,0.10716833582245426,3
13,lig_6a,-9.116803753176859,3.7974518936430393,0.11059617455379203,3,-9.292486177590112,3.6846991706691976,0.11267851665143706,3
14,lig_6b,-7.684690636065835,1.5774809212074035,0.1120867763885621,3,-7.630794990016447,1.4585325096920618,0.11268423873942718,3
15,lig_6c,-10.566806146274757,1.7588859549450384,0.11182355739978406,3,-10.551322989617566,1.7938058072032783,0.11364056041392272,3
16,lig_6d,-13.78225469015944,1.309339765367613,0.1111566574572367,3,-13.678432387963968,1.6034116394876512,0.11252758147460855,3
17,lig_6e,-13.047190760704117,0.3667382270596171,0.1070115785429554,3,-12.930860515808213,0.25760662437675397,0.10744719967519852,3
18,lig_7b,-7.731855138456492,0.952254095909341,0.10366472520750214,3,-7.749754330749564,0.8885669152346558,0.10657007779380752,3
19,lig_7c,-6.939512962817541,1.4027729773719995,0.10784386679059335,3,-7.202793858581397,1.3655307257864306,0.11121557460462321,3
20,lig_7d,-8.819600117390584,1.214219934651959,0.1410792118022377,3,-8.830453543612736,1.1798350428550115,0.14242744641329838,3
21,lig_7e,-8.40905405485473,0.735022225793653,0.11482347822180976,3,-8.302792364538874,0.724777364810753,0.1153993176236887,3
22,lig_7f,-9.976182884174271,0.15221650100436568,0.11444416680236288,3,-10.117242501184686,0.32893868624065004,0.11461837228491395,3
