,ligand,MBAR,MBAR_sem,MBAR_uncertainty_propagation,MBAR_num_replicas,TI,TI_sem,TI_uncertainty_propagation,TI_num_replicas
0,lig_20667_2qbp,-27.739757376835826,3.578970392619246,0.19447953076041294,3,-26.971441257345106,3.3612515675983046,0.18631959961911213,3
1,lig_20669_2qbr,-23.476392358491598,2.1258978339837076,0.15623574723510922,3,-23.521546372391786,1.7432236213334584,0.15207996863894224,3
2,lig_20670_2qbs,-19.68465718397866,0.6532101585664636,0.15951156288844268,3,-19.40013759348976,0.6089963606407327,0.14900071868006978,3
3,lig_23466,-19.17747022844031,1.7655194350133439,0.14859170336738634,3,-18.630648024350197,1.7237253502155128,0.1503563165590739,3
4,lig_23467,-17.01685786003408,0.44435099231179,0.15069574320048204,3,-16.77281721767078,0.5363486148842629,0.14637166986579586,3
5,lig_23468,-21.05557632712501,3.1782286568268368,0.1602787864319542,3,-20.847512553659104,3.421898387396636,0.15456094673144177,3
6,lig_23469,-21.420011068145016,2.055061574079332,0.16402411274733944,3,-20.95922651806582,2.2834340687883157,0.1614863953238106,3
7,lig_23470,-22.113041587508274,1.3487366888334547,0.16797720631192742,3,-21.544417512801658,1.5480777806733326,0.16843351014023994,3
8,lig_23471,-19.746792015507953,2.8703768261152103,0.162171430212929,3,-19.212434631405774,2.8241490409221717,0.15511362647618385,3
9,lig_23472,-23.899269443367086,2.067038988542214,0.15908476859842252,3,-23.55276030040575,1.9165820504512034,0.15230713214879804,3
10,lig_23473,-26.663372928872562,0.4946140561829721,0.15443039147850796,3,-26.16873513848395,0.4457376938361286,0.15241804205946852,3
11,lig_23474,-26.494177395954225,1.6246798223837497,0.15590724420937982,3,-26.02447632514909,1.4251913670585616,0.15296121260587875,3
12,lig_23475,-25.832182475854335,2.5547815277711807,0.15415890300067675,3,-25.40359175549905,2.6526339539045054,0.15246161306479805,3
13,lig_23476,-21.43396323663836,0.9978340627656153,0.1567379287512195,3,-21.017009788144946,1.0995543398287924,0.1535627208940338,3
14,lig_23477,-21.956265898464427,1.8831506245089389,0.15538093959702756,3,-21.800726163792405,2.085475980902033,0.15289853258184488,3
15,lig_23479,-20.11075443291503,0.5176460932273228,0.16775467109915257,3,-19.943030524824742,0.60172607450637,0.16539663345009276,3
16,lig_23480,-24.457931937638904,1.1619444815194555,0.16309726957466678,3,-24.202216902602117,1.124226643799374,0.15901182217540027,3
17,lig_23482,-27.758594237267342,1.8636401845020134,0.17274503063110744,3,-27.061891537847487,1.5881687519354126,0.16816607341920775,3
18,lig_23483,-27.775194740541817,3.0988706255640626,0.1826030395679188,3,-26.951983215076165,3.2059138886034324,0.17341011088121355,3
19,lig_23484,-22.06008084429449,1.7301820441643787,0.17851655530566235,3,-21.710732458771634,1.7273272027488176,0.1759481022667129,3
20,lig_23485,-27.111692096430932,0.4836831701944088,0.18611069304684433,3,-26.732785946728836,0.5382097084556722,0.18329160946572853,3
21,lig_23486,-26.027593514894424,1.6482727857265442,0.18049117717336013,3,-25.801375028396205,1.6982734373608463,0.16745659804699267,3
