,ligand,MBAR,MBAR_sem,MBAR_uncertainty_propagation,MBAR_num_replicas,TI,TI_sem,TI_uncertainty_propagation,TI_num_replicas
0,lig_p38a_2aa,-12.412486905566702,0.4872286223877104,0.09809371997524559,3,-12.167959548259091,0.26265939346471984,0.10128664655423927,3
1,lig_p38a_2bb,-13.190718072350906,0.7466418309771437,0.11516192644112934,3,-12.756976295272793,0.8320485942302742,0.11589544174725525,3
2,lig_p38a_2e,-12.91758107747915,0.9385632858149725,0.08769024128200777,3,-12.790220416965866,0.8802696339497812,0.0894618240718348,3
3,lig_p38a_2ee,-14.083783751303235,1.6711865439311904,0.09881542883775843,3,-13.833869411485763,1.8174412530845332,0.10152417590165978,3
4,lig_p38a_2f,-9.313781683654996,0.771956651709341,0.08704657446457537,3,-9.136212266334157,0.8156829757264255,0.08969872625757155,3
5,lig_p38a_2ff,-12.860461217957402,0.3046922901201389,0.09106926685660222,3,-12.608763880940154,0.3847642661841053,0.09198027992525662,3
6,lig_p38a_2g,-14.095757387628895,0.8906937122975243,0.0889291480852848,3,-13.649563847947482,0.8116419575195533,0.090448037633293,3
7,lig_p38a_2gg,-10.81088069681998,2.0356700348540686,0.09883714869684022,3,-11.436661905275061,1.7902321085734092,0.10839364424535951,3
8,lig_p38a_2h,-12.245259633632292,0.2797814378917576,0.08585047332555759,3,-11.899313623118685,0.3063048706825621,0.08795560806969879,3
9,lig_p38a_2i,-11.233302949259432,1.0072539836086603,0.08519516084377111,3,-10.945569440492088,1.0443488776610004,0.08836371919892871,3
10,lig_p38a_2j,-13.993698235312296,1.8413258167995337,0.08146985767766526,3,-13.851349042563541,1.8215865088224537,0.08355976258402006,3
11,lig_p38a_2k,-12.100991667921008,0.5397192426313377,0.0872806549269856,3,-11.800064487928509,0.5867330536890802,0.09038244266589457,3
12,lig_p38a_2l,-14.57452463194717,0.3493396495014839,0.09114610595866342,3,-14.412161368769228,0.2609897557809442,0.09228122743150484,3
13,lig_p38a_2m,-15.215506549197068,1.993735841604702,0.09177992409498704,3,-14.99293016820524,1.8801561297181004,0.09393398840149436,3
14,lig_p38a_2n,-12.519352500753365,0.10425311794693515,0.09258357648693098,3,-12.443272201659175,0.11706884634951299,0.0941082930007774,3
15,lig_p38a_2o,-13.958003687524036,0.942220312992241,0.11447009142562964,3,-13.63034313898782,1.001631792659911,0.11628925235163118,3
16,lig_p38a_2p,-13.451472046577313,0.4575988477566555,0.1061019186917174,3,-13.219953987653364,0.3537420757918329,0.1044783379472466,3
17,lig_p38a_2r,-15.852760614835285,0.8390172966752999,0.10599081377646404,3,-15.626460954167475,0.9604348648335146,0.10777880885030755,3
18,lig_p38a_2s,-15.364604912947465,1.5235971599399707,0.11185753476183036,3,-14.906200847053066,1.5431169560035256,0.1134074965483374,3
19,lig_p38a_2t,-16.778213694506732,1.149009926473011,0.09374438809094764,3,-16.68204517221762,1.1898575898683517,0.09294086410998922,3
20,lig_p38a_2v,-11.547723888851186,0.36562144609726777,0.07883264101464244,3,-11.476267789991548,0.3417549610577207,0.08124262829157006,3
21,lig_p38a_2x,-11.064096362702594,0.9308765270736439,0.08584352905954996,3,-10.997459714402046,0.9686060572274755,0.09078007774698034,3
22,lig_p38a_2y,-12.809368395282599,0.19690560659679687,0.09841165351749395,3,-12.602399401457069,0.16308687374147646,0.0992240196513348,3
23,lig_p38a_2z,-13.451113725811894,1.1721437087256614,0.09635799368052554,3,-13.331945964230941,1.0575498619722448,0.09807562637689966,3
24,lig_p38a_3fln,-13.278855391873847,1.8777259943285665,0.08922036869601624,3,-13.09392834327211,1.758214610137356,0.09121452908605285,3
25,lig_p38a_3flw,-14.510886419728172,0.5924316324966503,0.10864497599800818,3,-14.558931694314056,0.4690844967554255,0.11180387629262464,3
26,lig_p38a_3fly,-13.687422836316694,1.6176608177427307,0.08570594328202147,3,-13.600772464217586,1.5993857311888682,0.08616918514247024,3
27,lig_p38a_3flz,-13.13494484427504,0.2183641750361018,0.085199862562527,3,-12.993271048816226,0.32625398795498467,0.087647185510698,3
28,lig_p38a_3fmh,-13.792638719850023,1.0106657914669495,0.09600011394388851,3,-13.759350102563237,0.9335451929889028,0.0977781987305666,3
