,system,ligand,replica,simulation_mbar_espaloma-0.3.1,simulation_mbar_gaff-2.11,simulation_mbar_openff-2.0.0,sample,simulation_dg-c2-gb_espaloma-0.3.1,simulation_dg-c2-gb_gaff-2.11,simulation_dg-c2-gb_openff-2.0.0,simulation_dg-c2-pb_espaloma-0.3.1,simulation_dg-c2-pb_gaff-2.11,simulation_dg-c2-pb_openff-2.0.0,simulation_dg-ie-gb_espaloma-0.3.1,simulation_dg-ie-gb_gaff-2.11,simulation_dg-ie-gb_openff-2.0.0,simulation_dg-ie-pb_espaloma-0.3.1,simulation_dg-ie-pb_gaff-2.11,simulation_dg-ie-pb_openff-2.0.0,simulation_dh-gb_espaloma-0.3.1,simulation_dh-gb_gaff-2.11,simulation_dh-gb_openff-2.0.0,simulation_dh-pb_espaloma-0.3.1,simulation_dh-pb_gaff-2.11,simulation_dh-pb_openff-2.0.0,exp_dG,exp_dG_error,exp_Chen2023,simulation_Chen2023-RBFEP,simulation_Chen2023,simulation_Khalak2021,error_Khalak2021,exp_Khalak2021,exp_error_Khalak2021,exp_Lin2021,simulation_Lin2021,error_Lin2021,exp_Alibay2022,simulation_Alibay2022,exp_Li2019,simulation_mbar_Li2019,simulation_mmpbsa_Li2019,simulation_mmgbsa_Li2019,simulation_Ries2024,error_Ries2024,simulation_Clark2024,error_Clark2024,simulation_Deflorian2020,error_Deflorian2020
20,A2A,4g,2,-11.705438862776735,-15.586690429595166,-15.775107373759187,1,-35.460679809523924,-28.98641867047603,-28.896251489524087,-24.500280952381136,-18.30289523809505,-16.20793333333352,-40.08165480952392,-34.16511867047603,-36.25477648952409,-29.121255952381137,-23.481595238095053,-23.56645833333352,-41.96227980952392,-37.24761867047604,-41.71165148952409,-31.001880952381136,-26.564095238095053,-29.02333333333352,,,,,,,,,,,,,,,,,,,,,,,,
21,A2A,4g,2,,,,2,-29.91562417904786,-25.52539651428519,-32.92356121523813,-19.58726666666695,-12.04271904761865,-18.20161428571431,-37.62597417904786,-33.65404651428519,-36.479336215238135,-27.29761666666695,-20.17136904761865,-21.75738928571431,-40.54472417904786,-37.29529651428519,-39.94996121523813,-30.21636666666695,-23.81261904761865,-25.22801428571431,,,,,,,,,,,,,,,,,,,,,,,,
22,A2A,4g,2,,,,3,-27.992925485713947,-29.58996365333275,-33.104539276190806,-19.861723809523525,-17.904547619047072,-20.79161428571457,-33.30310048571395,-33.80128865333275,-37.85828927619081,-25.17189880952353,-22.11587261904707,-25.54536428571456,-38.711225485713946,-37.48066365333275,-42.16453927619081,-30.580023809523524,-25.79524761904707,-29.851614285714565,,,,,,,,,,,,,,,,,,,,,,,,
23,A2A,4g,2,,,,4,-23.65723454857108,-29.069315687618644,-34.988734628571244,-14.677814285713836,-17.453161904761547,-21.990266666666532,-33.540959548571074,-32.47136568761864,-39.302984628571245,-24.561539285713835,-20.855211904761543,-26.304516666666533,-38.79783454857108,-36.51011568761864,-41.661734628571246,-29.818414285713835,-24.893961904761547,-28.663266666666537,,,,,,,,,,,,,,,,,,,,,,,,
24,A2A,4g,2,,,,5,-27.76709379809523,-28.50032242666633,-32.62325985904769,-17.534580952380903,-17.72753809523777,-18.74956666666681,-35.604318798095235,-34.39672242666633,-38.70043485904769,-25.371805952380903,-23.62393809523777,-24.826741666666805,-39.31119379809523,-36.61672242666633,-41.36355985904769,-29.078680952380903,-25.84393809523777,-27.489866666666806,,,,,,,,,,,,,,,,,,,,,,,,
25,A2A,4g,2,,,,6,-34.58640247238129,-29.776902434285752,-26.9442006361904,-24.87164761904788,-18.951952380952363,-15.343199999999992,-38.83792747238129,-32.56307743428575,-36.5405256361904,-29.12317261904788,-21.738127380952363,-24.939524999999996,-40.72730247238129,-35.99370243428575,-40.3574006361904,-31.01254761904788,-25.168752380952363,-28.756399999999992,,,,,,,,,,,,,,,,,,,,,,,,
26,A2A,4g,2,,,,7,-28.4908460914289,-31.22150073523802,-30.562050415238083,-20.73877619047652,-20.90249523809516,-17.50192380952373,-32.6100710914289,-33.79262573523802,-38.58000041523808,-24.85800119047652,-23.47362023809516,-25.51987380952373,-38.7669460914289,-37.15700073523802,-41.71125041523808,-31.01487619047652,-26.83799523809516,-28.65112380952373,,,,,,,,,,,,,,,,,,,,,,,,
27,A2A,4g,2,,,,8,-31.944037622856783,-30.824546312380804,-31.040169043809943,-22.74153809523768,-18.516133333333315,-18.57747142857184,-34.42298762285679,-35.0614713123808,-37.78881904380994,-25.22048809523768,-22.75305833333332,-25.32612142857184,-40.15923762285679,-37.7808463123808,-40.65256904380995,-30.95673809523768,-25.472433333333317,-28.18987142857184,,,,,,,,,,,,,,,,,,,,,,,,
28,A2A,4g,2,,,,9,-29.87846095619021,-26.524037870476235,-30.555408099047515,-21.245404761904467,-14.736538095238112,-16.339542857142654,-34.29501095619021,-31.11881287047624,-35.545883099047515,-25.661954761904468,-19.331313095238112,-21.330017857142657,-38.51376095619021,-36.34943787047624,-40.94400809904752,-29.880704761904468,-24.561938095238112,-26.72814285714265,,,,,,,,,,,,,,,,,,,,,,,,
29,A2A,4g,2,,,,10,-32.387645036190364,-14.64600744761913,-31.77288410285721,-23.08824761904751,-2.975657142857141,-17.964076190476185,-35.83109503619036,-27.24840744761913,-39.52888410285721,-26.53169761904751,-15.578057142857142,-25.720076190476185,-39.57984503619036,-35.23090744761913,-41.78888410285721,-30.28044761904751,-23.560557142857142,-27.980076190476183,,,,,,,,,,,,,,,,,,,,,,,,
30,A2A,4g,2,,,,11,-36.704479977143016,-28.49189334857132,-28.66120262476168,-27.3740857142858,-17.50120952380943,-15.072538095237904,-38.933054977143016,-31.27234334857132,-36.22060262476168,-29.602660714285797,-20.28165952380943,-22.631938095237903,-41.60117997714302,-37.41109334857132,-41.09810262476168,-32.27078571428579,-26.42040952380943,-27.509438095237904,,,,,,,,,,,,,,,,,,,,,,,,
31,A2A,4g,2,,,,12,-26.80010084571458,-29.892537211428483,-35.87601859047611,-18.41356190476225,-18.82141428571417,-21.10189523809521,-32.22320084571458,-34.13458721142848,-38.0929185904761,-23.836661904762256,-23.06346428571417,-23.318795238095213,-38.23070084571458,-38.08583721142848,-41.340418590476105,-29.844161904762256,-27.01471428571417,-26.56629523809521,,,,,,,,,,,,,,,,,,,,,,,,
32,A2A,4g,2,,,,13,-34.12556652190473,-30.324910899047616,-31.82360763428504,-24.194342857142733,-19.169561904761817,-17.685352380951663,-36.61609152190473,-34.92618589904762,-35.47605763428504,-26.68486785714273,-23.77083690476181,-21.33780238095166,-39.86546652190473,-37.19931089904762,-40.21730763428504,-29.93424285714273,-26.04396190476181,-26.079052380951666,,,,,,,,,,,,,,,,,,,,,,,,
33,A2A,4g,2,,,,14,-33.73887019809564,-31.287289142856967,-29.792424617142903,-25.216266666667,-19.746009523809352,-16.618447619047654,-36.96037019809564,-33.84261414285697,-34.64139961714291,-28.437766666666995,-22.301334523809352,-21.467422619047653,-40.08787019809564,-38.27198914285697,-40.762024617142906,-31.565266666667,-26.730709523809352,-27.588047619047657,,,,,,,,,,,,,,,,,,,,,,,,
34,A2A,4g,2,,,,15,-28.2321848228573,-31.99031375238091,-30.35075950095252,-19.916814285714512,-19.27535238095232,-16.945042857142987,-31.9564848228573,-35.99191375238091,-35.00925950095252,-23.64111428571451,-23.27695238095232,-21.60354285714299,-39.9564848228573,-37.67191375238091,-40.60175950095252,-31.64111428571451,-24.95695238095232,-27.196042857142988,,,,,,,,,,,,,,,,,,,,,,,,
35,A2A,4g,2,,,,16,-26.81837298285722,-34.36641306285745,-29.88739544000013,-16.88576666666669,-19.72781428571466,-17.891933333333483,-36.26199798285722,-36.13358806285745,-36.05954544000013,-26.329391666666687,-21.49498928571466,-24.06408333333348,-40.06137298285722,-37.99921306285745,-39.86329544000013,-30.12876666666669,-23.36061428571466,-27.867833333333483,,,,,,,,,,,,,,,,,,,,,,,,
36,A2A,4g,2,,,,17,-29.45312652952382,-28.34309441523815,-33.56583577904788,-20.70500000000002,-14.352085714285725,-20.702195238095477,-36.05760152952382,-34.14504441523815,-37.25988577904788,-27.30947500000002,-20.15403571428573,-24.39624523809547,-38.73072652952382,-37.85379441523815,-41.65613577904788,-29.98260000000002,-23.862785714285724,-28.792495238095476,,,,,,,,,,,,,,,,,,,,,,,,
37,A2A,4g,2,,,,18,-29.664693733333195,-30.13059928380965,-29.89787628952399,-20.61458571428552,-16.9353238095239,-18.600657142857365,-34.1825687333332,-32.49102428380965,-36.12952628952399,-25.13246071428551,-19.2957488095239,-24.832307142857367,-37.6531937333332,-38.48039928380965,-39.90077628952399,-28.60308571428552,-25.285123809523903,-28.603557142857365,,,,,,,,,,,,,,,,,,,,,,,,
38,A2A,4g,2,,,,19,-28.21252001523789,-30.91426123047611,-37.564183017142334,-17.513614285714027,-17.978742857142826,-25.09520952380904,-36.57884501523789,-34.70698623047612,-39.08408301714233,-25.879939285714027,-21.77146785714283,-26.61510952380904,-39.78822001523789,-39.37386123047612,-40.82658301714233,-29.08931428571403,-26.43834285714283,-28.35760952380904,,,,,,,,,,,,,,,,,,,,,,,,
39,A2A,4g,2,,,,20,-26.37810545904772,-29.146244038095237,-34.275747295237615,-17.174800000000012,-14.630504761904705,-22.700866666666144,-38.65305545904772,-33.253519038095234,-37.26854729523761,-29.44975000000001,-18.737779761904704,-25.693666666666147,-39.79680545904772,-37.87164403809523,-40.72604729523761,-30.59350000000001,-23.355904761904704,-29.151166666666143,,,,,,,,,,,,,,,,,,,,,,,,
40,A2A,4g,3,-10.648290671518346,-12.088923167374245,-14.888517676388524,1,-32.02045600380967,-30.848257535238087,-33.83316583619045,-19.98679523809537,-19.2423,-19.89161904761899,-38.29473100380967,-33.75835753523809,-37.88176583619045,-26.26107023809537,-22.1524,-23.940219047618985,-41.08035600380967,-37.47335753523809,-40.599265836190455,-29.04669523809537,-25.8674,-26.657719047618983,,,,,,,,,,,,,,,,,,,,,,,,
41,A2A,4g,3,,,,2,-31.18260875809529,-30.44489001523818,-35.79266748190483,-18.669419047619083,-17.20756190476201,-22.62366190476196,-36.9571837580953,-34.83784001523818,-38.52494248190483,-24.44399404761908,-21.60051190476201,-25.35593690476196,-39.725308758095295,-37.24159001523818,-40.53806748190483,-27.212119047619083,-24.00426190476201,-27.36906190476196,,,,,,,,,,,,,,,,,,,,,,,,
42,A2A,4g,3,,,,3,-33.41683307047671,-29.610133108570803,-31.35933689523864,-21.85739047619098,-17.557009523808905,-20.872204761905213,-37.24773307047671,-33.0320831085708,-35.76696189523864,-25.68829047619098,-20.978959523808903,-25.27982976190521,-39.76023307047672,-37.5458331085708,-39.02383689523864,-28.200790476190974,-25.492709523808905,-28.536704761905213,,,,,,,,,,,,,,,,,,,,,,,,
43,A2A,4g,3,,,,4,-21.700779032380517,-28.891373596189847,-33.1217456647615,-10.526952380951895,-18.36859047618983,-22.54729523809481,-31.967779032380516,-36.200048596189845,-36.1419206647615,-20.793952380951897,-25.67726547618983,-25.567470238094817,-38.25777903238051,-38.10317359618985,-38.8150456647615,-27.083952380951896,-27.58039047618983,-28.240595238094816,,,,,,,,,,,,,,,,,,,,,,,,
44,A2A,4g,3,,,,5,-31.30685344000021,-31.302731382857537,-31.687292689524583,-19.833585714285977,-20.200471428571788,-19.4800666666674,-37.14475344000021,-34.93178138285754,-37.43429268952458,-25.67148571428597,-23.829521428571788,-25.2270666666674,-40.14975344000021,-37.083031382857534,-40.431792689524585,-28.67648571428597,-25.98077142857179,-28.2245666666674,,,,,,,,,,,,,,,,,,,,,,,,
45,A2A,4g,3,,,,6,-25.39566028571403,-29.353710049523805,-23.55286359619076,-12.224961904761704,-18.98827142857129,-11.401004761904971,-33.781710285714034,-33.92896004952381,-31.83198859619076,-20.611011904761703,-23.563521428571296,-19.68012976190497,-38.13546028571403,-37.15021004952381,-42.46136359619076,-24.964761904761705,-26.784771428571297,-30.30950476190497,,,,,,,,,,,,,,,,,,,,,,,,
46,A2A,4g,3,,,,7,-24.25858388952328,-9.931999123809366,-36.0438277752381,-12.885671428570957,0.1596285714287759,-25.825199999999995,-30.55855888952328,-32.740499123809364,-38.4989527752381,-19.185646428570955,-22.648871428571223,-28.280325,-38.11918388952328,-34.707999123809365,-41.9783277752381,-26.74627142857096,-24.616371428571224,-31.759699999999995,,,,,,,,,,,,,,,,,,,,,,,,
47,A2A,4g,3,,,,8,-28.99049181714259,5.861297036190688,-33.96047038476107,-17.588328571428377,17.87676190476203,-23.244123809522936,-31.97466681714259,-29.32757796380931,-38.69272038476106,-20.572503571428378,-17.31211309523797,-27.976373809522936,-38.61779181714259,-31.27070296380931,-42.59647038476106,-27.21562857142838,-19.255238095237967,-31.88012380952293,,,,,,,,,,,,,,,,,,,,,,,,
48,A2A,4g,3,,,,9,-27.683443855238245,-16.783536419047753,-33.90113355047666,-18.60260000000018,-7.267428571428713,-23.277414285714677,-35.08301885523825,-27.418061419047756,-36.01550855047666,-26.00217500000018,-17.901953571428713,-25.391789285714676,-39.57114385523825,-33.197436419047754,-40.61113355047666,-30.49030000000018,-23.681328571428715,-29.98741428571467,,,,,,,,,,,,,,,,,,,,,,,,
49,A2A,4g,3,,,,10,-32.395949500953044,-21.631801980952236,-29.887840979047667,-22.451600000000543,-10.494490476190274,-18.49460476190483,-35.861549500953046,-29.44055198095224,-36.87261597904767,-25.91720000000055,-18.303240476190275,-25.47937976190483,-38.52154950095304,-36.56680198095224,-40.15324097904767,-28.57720000000055,-25.42949047619027,-28.76000476190483,,,,,,,,,,,,,,,,,,,,,,,,
50,A2A,4g,3,,,,11,-33.132989859047896,-23.203406323809013,-33.189354910476546,-23.60641904761926,-12.61109523809467,-23.148414285714697,-36.4392148590479,-32.99313132380901,-38.06875491047655,-26.91264404761926,-22.40082023809467,-28.02781428571469,-38.7610898590479,-34.99750632380901,-41.79875491047655,-29.23451904761926,-24.40519523809467,-31.75781428571469,,,,,,,,,,,,,,,,,,,,,,,,
51,A2A,4g,3,,,,12,-29.00898739809521,-22.0767871999994,-34.974215965714386,-18.2816,-10.84913809523743,-23.88667619047628,-33.68101239809522,-29.5989621999994,-39.701890965714384,-22.953625,-18.37131309523743,-28.61435119047628,-39.27038739809522,-33.7270871999994,-42.01501596571438,-28.543,-22.49943809523743,-30.92747619047628,,,,,,,,,,,,,,,,,,,,,,,,
52,A2A,4g,3,,,,13,-31.546984182857106,-18.329539203809425,-26.42885649142958,-21.832295238095146,-6.083761904761749,-16.011638095239064,-35.331984182857106,-27.016264203809424,-35.90648149142958,-25.61729523809514,-14.77048690476175,-25.489263095239064,-39.606984182857104,-32.99813920380942,-41.60835649142958,-29.89229523809514,-20.75236190476175,-31.191138095239065,,,,,,,,,,,,,,,,,,,,,,,,
53,A2A,4g,3,,,,14,-26.648618681905305,-27.510777135238108,-36.11477358476159,-17.170138095238634,-16.63812857142861,-26.23498571428543,-34.04059368190531,-32.26975213523811,-39.07427358476159,-24.562113095238637,-21.39710357142861,-29.194485714285427,-40.80621868190531,-36.97787713523811,-40.70177358476159,-31.327738095238637,-26.105228571428608,-30.82198571428543,,,,,,,,,,,,,,,,,,,,,,,,
54,A2A,4g,3,,,,15,-25.39060374476217,-10.776756510476016,-29.307115603809265,-15.565800000000266,0.5639095238097767,-19.030814285714097,-36.738453744762175,-32.45138151047602,-34.64924060380926,-26.913650000000267,-21.110715476190222,-24.372939285714093,-41.839703744762176,-34.548256510476016,-39.91861560380927,-32.01490000000027,-23.207590476190223,-29.642314285714093,,,,,,,,,,,,,,,,,,,,,,,,
55,A2A,4g,3,,,,16,-12.846164902857236,-28.209646579047725,-33.55345552380929,-3.4432285714287048,-17.05570476190484,-22.675676190475983,-29.24108990285724,-33.81987157904773,-37.30165552380929,-19.838153571428705,-22.66592976190484,-26.423876190475987,-38.49546490285724,-36.549246579047725,-39.94665552380929,-29.092528571428705,-25.39530476190484,-29.068876190475983,,,,,,,,,,,,,,,,,,,,,,,,
56,A2A,4g,3,,,,17,-30.58752471999992,-29.592697180952463,-28.63264299809438,-22.177566666666515,-17.68648095238109,-18.420252380951556,-36.18132471999992,-32.214997180952466,-36.11341799809438,-27.771366666666516,-20.30878095238109,-25.901027380951557,-38.38382471999992,-36.35999718095246,-39.54154299809438,-29.973866666666517,-24.453780952381088,-29.32915238095155,,,,,,,,,,,,,,,,,,,,,,,,
57,A2A,4g,3,,,,18,-31.310497100952453,-13.878270982857629,-32.876892396190605,-22.08642380952381,-1.6310285714290806,-22.348752380952543,-35.00517210095246,-29.69312098285763,-35.15036739619061,-25.78109880952381,-17.44587857142908,-24.62222738095254,-38.94579710095245,-35.37937098285763,-39.54349239619061,-29.721723809523816,-23.13212857142908,-29.015352380952542,,,,,,,,,,,,,,,,,,,,,,,,
