,pearson,kendall,spearman,rmse,mse,mue,source
simulation_dh-pb_espaloma-0.3.1,"0.65 [68%: 0.43, 0.81]","0.47 [68%: 0.19, 0.76]","0.56 [68%: 0.22, 0.86]","16.81 [68%: 16.27, 17.35]","-16.72 [68%: -17.27, -16.19]","16.72 [68%: 16.19, 17.27]",A2A
simulation_dh-pb_gaff-2.11,"0.84 [68%: 0.59, 0.92]","0.51 [68%: 0.26, 0.76]","0.64 [68%: 0.35, 0.87]","15.05 [68%: 14.76, 15.32]","-15.02 [68%: -15.29, -14.74]","15.02 [68%: 14.74, 15.29]",A2A
simulation_dh-pb_openff-2.0.0,"0.70 [68%: 0.20, 0.84]","0.38 [68%: 0.10, 0.67]","0.47 [68%: 0.11, 0.78]","17.83 [68%: 17.48, 18.16]","-17.79 [68%: -18.14, -17.45]","17.79 [68%: 17.45, 18.14]",A2A
simulation_dh-gb_espaloma-0.3.1,"0.94 [68%: 0.87, 0.98]","0.73 [68%: 0.56, 0.90]","0.88 [68%: 0.70, 0.96]","28.76 [68%: 28.31, 29.2]","-28.73 [68%: -29.17, -28.28]","28.73 [68%: 28.28, 29.17]",A2A
simulation_dh-gb_gaff-2.11,"0.90 [68%: 0.74, 0.95]","0.64 [68%: 0.50, 0.80]","0.81 [68%: 0.64, 0.90]","26.68 [68%: 26.1, 27.25]","-26.61 [68%: -27.21, -26.02]","26.61 [68%: 26.02, 27.21]",A2A
simulation_dh-gb_openff-2.0.0,"0.91 [68%: 0.73, 0.96]","0.60 [68%: 0.43, 0.77]","0.75 [68%: 0.53, 0.89]","29.63 [68%: 29.09, 30.15]","-29.58 [68%: -30.12, -29.03]","29.58 [68%: 29.03, 30.12]",A2A
simulation_mbar_espaloma-0.3.1,"0.40 [68%: 0.18, 0.61]","0.39 [68%: 0.22, 0.57]","0.52 [68%: 0.31, 0.71]","14.44 [68%: 13.92, 14.94]","-14.22 [68%: -14.74, -13.71]","14.22 [68%: 13.71, 14.74]",PTP1B
simulation_mbar_gaff-2.11,"0.59 [68%: 0.41, 0.71]","0.36 [68%: 0.22, 0.50]","0.48 [68%: 0.29, 0.64]","10.5 [68%: 10.03, 10.94]","-10.28 [68%: -10.74, -9.82]","10.28 [68%: 9.82, 10.74]",PTP1B
simulation_mbar_openff-2.0.0,"0.67 [68%: 0.58, 0.76]","0.43 [68%: 0.31, 0.55]","0.61 [68%: 0.45, 0.74]","14.48 [68%: 13.96, 14.99]","-14.27 [68%: -14.79, -13.74]","14.27 [68%: 13.74, 14.79]",PTP1B
simulation_dg-c2-pb_espaloma-0.3.1,"0.16 [68%: -0.05, 0.40]","0.28 [68%: 0.10, 0.45]","0.37 [68%: 0.13, 0.59]","82.33 [68%: 79.55, 85.03]","81.34 [68%: 78.67, 84.03]","81.34 [68%: 78.67, 84.03]",PTP1B
simulation_dg-c2-pb_gaff-2.11,"-0.27 [68%: -0.50, -0.02]","0.06 [68%: -0.14, 0.27]","0.02 [68%: -0.25, 0.29]","85.84 [68%: 83.53, 88.12]","85.21 [68%: 83.04, 87.37]","85.21 [68%: 83.04, 87.37]",PTP1B
simulation_dg-c2-pb_openff-2.0.0,"0.00 [68%: -0.32, 0.29]","-0.01 [68%: -0.20, 0.18]","-0.04 [68%: -0.29, 0.22]","85.02 [68%: 82.8, 87.2]","84.38 [68%: 82.21, 86.58]","84.38 [68%: 82.21, 86.58]",PTP1B
simulation_dg-c2-gb_espaloma-0.3.1,"0.41 [68%: 0.24, 0.58]","0.34 [68%: 0.18, 0.50]","0.47 [68%: 0.25, 0.65]","75.44 [68%: 72.5, 78.22]","74.28 [68%: 71.4, 77.11]","74.28 [68%: 71.4, 77.11]",PTP1B
simulation_dg-c2-gb_gaff-2.11,"0.09 [68%: -0.17, 0.33]","0.11 [68%: -0.08, 0.31]","0.09 [68%: -0.17, 0.36]","79.13 [68%: 77.22, 80.95]","78.64 [68%: 76.76, 80.49]","78.64 [68%: 76.76, 80.49]",PTP1B
simulation_dg-c2-gb_openff-2.0.0,"0.38 [68%: 0.06, 0.58]","0.17 [68%: 0.00, 0.33]","0.21 [68%: -0.02, 0.43]","78.06 [68%: 76.09, 80.06]","77.46 [68%: 75.45, 79.54]","77.46 [68%: 75.45, 79.54]",PTP1B
simulation_dg-ie-pb_espaloma-0.3.1,"0.57 [68%: 0.44, 0.69]","0.42 [68%: 0.29, 0.55]","0.57 [68%: 0.39, 0.72]","51.24 [68%: 50.33, 52.11]","-51.07 [68%: -51.94, -50.17]","51.07 [68%: 50.17, 51.94]",PTP1B
simulation_dg-ie-pb_gaff-2.11,"0.39 [68%: 0.13, 0.75]","0.42 [68%: 0.27, 0.57]","0.55 [68%: 0.36, 0.72]","53.49 [68%: 52.66, 54.3]","-53.37 [68%: -54.14, -52.6]","53.37 [68%: 52.6, 54.14]",PTP1B
simulation_dg-ie-pb_openff-2.0.0,"0.67 [68%: 0.48, 0.84]","0.52 [68%: 0.37, 0.66]","0.65 [68%: 0.46, 0.80]","53.3 [68%: 52.37, 54.21]","-53.14 [68%: -54.02, -52.26]","53.14 [68%: 52.26, 54.02]",PTP1B
simulation_dg-ie-gb_espaloma-0.3.1,"0.67 [68%: 0.51, 0.83]","0.55 [68%: 0.41, 0.69]","0.68 [68%: 0.50, 0.84]","58.76 [68%: 56.83, 60.64]","-58.12 [68%: -59.95, -56.29]","58.12 [68%: 56.29, 59.95]",PTP1B
simulation_dg-ie-gb_gaff-2.11,"0.61 [68%: 0.38, 0.91]","0.53 [68%: 0.38, 0.69]","0.64 [68%: 0.45, 0.82]","60.41 [68%: 58.65, 62.12]","-59.94 [68%: -61.55, -58.33]","59.94 [68%: 58.33, 61.55]",PTP1B
simulation_dg-ie-gb_openff-2.0.0,"0.69 [68%: 0.50, 0.90]","0.60 [68%: 0.46, 0.74]","0.71 [68%: 0.52, 0.87]","60.76 [68%: 58.64, 62.86]","-60.06 [68%: -62.05, -58.14]","60.06 [68%: 58.14, 62.05]",PTP1B
simulation_dh-pb_espaloma-0.3.1,"0.62 [68%: 0.48, 0.74]","0.44 [68%: 0.32, 0.56]","0.61 [68%: 0.44, 0.75]","67.97 [68%: 67.08, 68.87]","-67.84 [68%: -68.74, -66.95]","67.84 [68%: 66.95, 68.74]",PTP1B
simulation_dh-pb_gaff-2.11,"0.48 [68%: 0.22, 0.89]","0.58 [68%: 0.44, 0.72]","0.68 [68%: 0.49, 0.85]","70.74 [68%: 69.93, 71.53]","-70.65 [68%: -71.39, -69.89]","70.65 [68%: 69.89, 71.39]",PTP1B
simulation_dh-pb_openff-2.0.0,"0.70 [68%: 0.53, 0.86]","0.54 [68%: 0.39, 0.70]","0.67 [68%: 0.50, 0.82]","70.31 [68%: 69.4, 71.18]","-70.19 [68%: -71.04, -69.31]","70.19 [68%: 69.31, 71.04]",PTP1B
simulation_dh-gb_espaloma-0.3.1,"0.68 [68%: 0.52, 0.84]","0.53 [68%: 0.40, 0.67]","0.67 [68%: 0.49, 0.83]","75.43 [68%: 73.43, 77.35]","-74.9 [68%: -76.79, -73.0]","74.9 [68%: 73.0, 76.79]",PTP1B
simulation_dh-gb_gaff-2.11,"0.63 [68%: 0.40, 0.92]","0.58 [68%: 0.44, 0.72]","0.68 [68%: 0.49, 0.85]","77.62 [68%: 75.81, 79.39]","-77.22 [68%: -78.89, -75.54]","77.22 [68%: 75.54, 78.89]",PTP1B
simulation_dh-gb_openff-2.0.0,"0.70 [68%: 0.51, 0.90]","0.60 [68%: 0.45, 0.73]","0.72 [68%: 0.54, 0.88]","77.68 [68%: 75.52, 79.77]","-77.11 [68%: -79.11, -75.1]","77.11 [68%: 75.1, 79.11]",PTP1B
simulation_mbar_espaloma-0.3.1,"0.30 [68%: 0.08, 0.56]","0.28 [68%: 0.07, 0.49]","0.42 [68%: 0.13, 0.65]","4.51 [68%: 4.19, 4.79]","-4.36 [68%: -4.67, -4.04]","4.36 [68%: 4.04, 4.67]",TYK2
simulation_mbar_gaff-2.11,"0.58 [68%: 0.38, 0.77]","0.51 [68%: 0.29, 0.73]","0.62 [68%: 0.34, 0.87]","1.05 [68%: 0.86, 1.21]","0.17 [68%: -0.11, 0.46]","0.79 [68%: 0.6, 0.98]",TYK2
simulation_mbar_openff-2.0.0,"0.50 [68%: 0.35, 0.66]","0.26 [68%: 0.07, 0.44]","0.48 [68%: 0.20, 0.66]","2.1 [68%: 1.85, 2.33]","-1.78 [68%: -2.1, -1.47]","1.86 [68%: 1.59, 2.13]",TYK2
simulation_dg-c2-pb_espaloma-0.3.1,"0.44 [68%: 0.26, 0.66]","0.28 [68%: 0.01, 0.56]","0.32 [68%: -0.02, 0.66]","9.51 [68%: 8.9, 10.07]","-9.02 [68%: -9.86, -8.17]","9.02 [68%: 8.17, 9.86]",TYK2
simulation_dg-c2-pb_gaff-2.11,"0.45 [68%: 0.33, 0.66]","0.46 [68%: 0.19, 0.71]","0.52 [68%: 0.22, 0.79]","8.1 [68%: 7.58, 8.59]","-6.53 [68%: -7.89, -5.19]","7.88 [68%: 7.37, 8.4]",TYK2
simulation_dg-c2-pb_openff-2.0.0,"0.45 [68%: 0.35, 0.62]","0.41 [68%: 0.26, 0.56]","0.60 [68%: 0.38, 0.74]","9.73 [68%: 9.17, 10.25]","-9.09 [68%: -10.06, -8.11]","9.39 [68%: 8.68, 10.1]",TYK2
simulation_dg-c2-gb_espaloma-0.3.1,"0.40 [68%: 0.21, 0.63]","0.26 [68%: -0.01, 0.53]","0.31 [68%: -0.04, 0.66]","17.3 [68%: 16.57, 17.99]","-16.99 [68%: -17.9, -16.1]","16.99 [68%: 16.1, 17.9]",TYK2
simulation_dg-c2-gb_gaff-2.11,"0.41 [68%: 0.27, 0.62]","0.44 [68%: 0.17, 0.69]","0.47 [68%: 0.16, 0.75]","15.29 [68%: 14.47, 16.06]","-14.43 [68%: -15.86, -13.0]","14.72 [68%: 13.56, 15.87]",TYK2
simulation_dg-c2-gb_openff-2.0.0,"0.39 [68%: 0.25, 0.55]","0.33 [68%: 0.14, 0.53]","0.50 [68%: 0.23, 0.70]","17.68 [68%: 16.88, 18.43]","-17.27 [68%: -18.32, -16.2]","17.27 [68%: 16.2, 18.32]",TYK2
simulation_dg-ie-pb_espaloma-0.3.1,"0.68 [68%: 0.53, 0.84]","0.46 [68%: 0.30, 0.64]","0.63 [68%: 0.41, 0.77]","16.34 [68%: 16.02, 16.65]","-16.3 [68%: -16.62, -15.98]","16.3 [68%: 15.98, 16.62]",TYK2
simulation_dg-ie-pb_gaff-2.11,"0.76 [68%: 0.60, 0.92]","0.69 [68%: 0.51, 0.88]","0.77 [68%: 0.56, 0.94]","14.06 [68%: 13.64, 14.48]","-13.98 [68%: -14.4, -13.57]","13.98 [68%: 13.57, 14.4]",TYK2
simulation_dg-ie-pb_openff-2.0.0,"0.70 [68%: 0.62, 0.80]","0.54 [68%: 0.41, 0.67]","0.75 [68%: 0.59, 0.83]","16.68 [68%: 16.35, 17.02]","-16.64 [68%: -16.99, -16.3]","16.64 [68%: 16.3, 16.99]",TYK2
simulation_dg-ie-gb_espaloma-0.3.1,"0.58 [68%: 0.42, 0.75]","0.38 [68%: 0.19, 0.58]","0.52 [68%: 0.25, 0.73]","24.31 [68%: 23.91, 24.7]","-24.27 [68%: -24.67, -23.85]","24.27 [68%: 23.85, 24.67]",TYK2
simulation_dg-ie-gb_gaff-2.11,"0.69 [68%: 0.51, 0.89]","0.59 [68%: 0.36, 0.84]","0.64 [68%: 0.36, 0.93]","21.94 [68%: 21.5, 22.39]","-21.88 [68%: -22.33, -21.44]","21.88 [68%: 21.44, 22.33]",TYK2
simulation_dg-ie-gb_openff-2.0.0,"0.59 [68%: 0.47, 0.73]","0.46 [68%: 0.29, 0.64]","0.62 [68%: 0.37, 0.79]","24.86 [68%: 24.47, 25.24]","-24.82 [68%: -25.21, -24.42]","24.82 [68%: 24.42, 25.21]",TYK2
simulation_dh-pb_espaloma-0.3.1,"0.65 [68%: 0.53, 0.80]","0.44 [68%: 0.31, 0.57]","0.65 [68%: 0.48, 0.74]","20.43 [68%: 20.11, 20.75]","-20.4 [68%: -20.72, -20.08]","20.4 [68%: 20.08, 20.72]",TYK2
simulation_dh-pb_gaff-2.11,"0.81 [68%: 0.67, 0.95]","0.64 [68%: 0.46, 0.84]","0.76 [68%: 0.56, 0.94]","18.21 [68%: 17.86, 18.55]","-18.16 [68%: -18.51, -17.82]","18.16 [68%: 17.82, 18.51]",TYK2
simulation_dh-pb_openff-2.0.0,"0.76 [68%: 0.69, 0.84]","0.56 [68%: 0.44, 0.69]","0.77 [68%: 0.62, 0.84]","20.8 [68%: 20.52, 21.06]","-20.77 [68%: -21.04, -20.5]","20.77 [68%: 20.5, 21.04]",TYK2
simulation_dh-gb_espaloma-0.3.1,"0.57 [68%: 0.43, 0.74]","0.41 [68%: 0.25, 0.57]","0.59 [68%: 0.38, 0.73]","28.4 [68%: 28.01, 28.79]","-28.37 [68%: -28.76, -27.97]","28.37 [68%: 27.97, 28.76]",TYK2
simulation_dh-gb_gaff-2.11,"0.76 [68%: 0.58, 0.95]","0.54 [68%: 0.32, 0.78]","0.64 [68%: 0.35, 0.92]","26.1 [68%: 25.74, 26.44]","-26.07 [68%: -26.41, -25.72]","26.07 [68%: 25.72, 26.41]",TYK2
simulation_dh-gb_openff-2.0.0,"0.69 [68%: 0.55, 0.81]","0.59 [68%: 0.43, 0.74]","0.74 [68%: 0.55, 0.87]","28.97 [68%: 28.67, 29.26]","-28.95 [68%: -29.24, -28.66]","28.95 [68%: 28.66, 29.24]",TYK2
simulation_mbar_espaloma-0.3.1,"0.66 [68%: 0.41, 0.78]","0.40 [68%: 0.27, 0.52]","0.52 [68%: 0.34, 0.66]","3.49 [68%: 2.53, 4.21]","-1.71 [68%: -2.33, -1.08]","2.59 [68%: 2.1, 3.06]",Thrombin
simulation_mbar_gaff-2.11,"0.47 [68%: -0.05, 0.67]","0.09 [68%: -0.07, 0.24]","0.13 [68%: -0.10, 0.34]","2.56 [68%: 2.06, 2.96]","0.39 [68%: -0.12, 0.92]","1.97 [68%: 1.63, 2.3]",Thrombin
simulation_mbar_openff-2.0.0,"0.65 [68%: 0.36, 0.77]","0.30 [68%: 0.15, 0.45]","0.42 [68%: 0.21, 0.60]","2.91 [68%: 2.1, 3.55]","-1.29 [68%: -1.84, -0.74]","2.01 [68%: 1.57, 2.46]",Thrombin
simulation_dg-c2-pb_espaloma-0.3.1,"0.12 [68%: -0.07, 0.28]","-0.03 [68%: -0.21, 0.13]","-0.01 [68%: -0.25, 0.22]","7.18 [68%: 4.73, 8.91]","-1.44 [68%: -2.92, -0.05]","4.98 [68%: 3.89, 6.04]",Thrombin
simulation_dg-c2-pb_gaff-2.11,"0.16 [68%: 0.00, 0.33]","0.12 [68%: -0.05, 0.28]","0.16 [68%: -0.07, 0.38]","8.82 [68%: 3.7, 11.88]","2.76 [68%: 1.01, 4.55]","4.28 [68%: 2.65, 5.92]",Thrombin
simulation_dg-c2-pb_openff-2.0.0,"0.13 [68%: -0.07, 0.23]","0.04 [68%: -0.11, 0.19]","0.09 [68%: -0.13, 0.30]","10.13 [68%: 3.46, 13.87]","0.58 [68%: -1.54, 2.76]","4.58 [68%: 2.62, 6.48]",Thrombin
simulation_dg-c2-gb_espaloma-0.3.1,"0.01 [68%: -0.26, 0.24]","0.01 [68%: -0.17, 0.19]","-0.01 [68%: -0.24, 0.25]","18.39 [68%: 17.44, 19.28]","-16.25 [68%: -17.99, -14.45]","17.68 [68%: 16.62, 18.7]",Thrombin
simulation_dg-c2-gb_gaff-2.11,"0.03 [68%: -0.25, 0.26]","0.02 [68%: -0.16, 0.21]","0.04 [68%: -0.20, 0.28]","15.38 [68%: 14.15, 16.54]","-11.43 [68%: -13.59, -9.3]","14.38 [68%: 13.26, 15.51]",Thrombin
simulation_dg-c2-gb_openff-2.0.0,"0.06 [68%: -0.24, 0.23]","0.07 [68%: -0.09, 0.23]","0.10 [68%: -0.13, 0.31]","18.18 [68%: 16.49, 19.69]","-13.59 [68%: -16.14, -11.07]","16.96 [68%: 15.63, 18.29]",Thrombin
simulation_dg-ie-pb_espaloma-0.3.1,"0.40 [68%: -0.25, 0.63]","-0.05 [68%: -0.23, 0.13]","-0.03 [68%: -0.27, 0.22]","14.05 [68%: 12.98, 15.05]","-13.45 [68%: -14.3, -12.62]","13.45 [68%: 12.62, 14.3]",Thrombin
simulation_dg-ie-pb_gaff-2.11,"0.49 [68%: -0.00, 0.69]","0.09 [68%: -0.10, 0.27]","0.11 [68%: -0.13, 0.35]","11.43 [68%: 10.65, 12.17]","-10.96 [68%: -11.64, -10.3]","10.96 [68%: 10.3, 11.64]",Thrombin
simulation_dg-ie-pb_openff-2.0.0,"0.44 [68%: -0.05, 0.65]","0.07 [68%: -0.11, 0.26]","0.11 [68%: -0.14, 0.34]","13.42 [68%: 12.46, 14.34]","-12.81 [68%: -13.65, -11.99]","12.81 [68%: 11.99, 13.65]",Thrombin
simulation_dg-ie-gb_espaloma-0.3.1,"0.26 [68%: -0.10, 0.51]","0.06 [68%: -0.12, 0.24]","0.07 [68%: -0.18, 0.31]","28.48 [68%: 27.73, 29.23]","-28.25 [68%: -28.99, -27.53]","28.25 [68%: 27.53, 28.99]",Thrombin
simulation_dg-ie-gb_gaff-2.11,"0.24 [68%: -0.05, 0.46]","0.11 [68%: -0.07, 0.30]","0.15 [68%: -0.10, 0.39]","25.37 [68%: 24.69, 26.04]","-25.16 [68%: -25.84, -24.48]","25.16 [68%: 24.48, 25.84]",Thrombin
simulation_dg-ie-gb_openff-2.0.0,"0.30 [68%: 0.09, 0.48]","0.23 [68%: 0.07, 0.39]","0.29 [68%: 0.06, 0.50]","27.36 [68%: 26.51, 28.15]","-26.99 [68%: -27.89, -26.04]","26.99 [68%: 26.04, 27.89]",Thrombin
simulation_dh-pb_espaloma-0.3.1,"0.35 [68%: -0.43, 0.59]","-0.21 [68%: -0.40, -0.02]","-0.23 [68%: -0.49, 0.02]","18.97 [68%: 17.74, 20.12]","-18.37 [68%: -19.35, -17.4]","18.37 [68%: 17.4, 19.35]",Thrombin
simulation_dh-pb_gaff-2.11,"0.41 [68%: -0.18, 0.63]","-0.03 [68%: -0.21, 0.14]","-0.07 [68%: -0.31, 0.18]","16.62 [68%: 15.62, 17.56]","-16.11 [68%: -16.94, -15.27]","16.11 [68%: 15.27, 16.94]",Thrombin
simulation_dh-pb_openff-2.0.0,"0.48 [68%: -0.10, 0.68]","0.09 [68%: -0.12, 0.28]","0.11 [68%: -0.14, 0.36]","18.61 [68%: 17.51, 19.64]","-18.13 [68%: -19.0, -17.26]","18.13 [68%: 17.26, 19.0]",Thrombin
simulation_dh-gb_espaloma-0.3.1,"0.25 [68%: -0.27, 0.53]","-0.04 [68%: -0.24, 0.16]","-0.08 [68%: -0.34, 0.19]","33.38 [68%: 32.57, 34.19]","-33.17 [68%: -33.95, -32.41]","33.17 [68%: 32.41, 33.95]",Thrombin
simulation_dh-gb_gaff-2.11,"0.24 [68%: -0.16, 0.50]","0.01 [68%: -0.18, 0.20]","0.01 [68%: -0.23, 0.26]","30.51 [68%: 29.76, 31.23]","-30.3 [68%: -31.03, -29.57]","30.3 [68%: 29.57, 31.03]",Thrombin
simulation_dh-gb_openff-2.0.0,"0.41 [68%: 0.11, 0.61]","0.17 [68%: -0.02, 0.35]","0.24 [68%: -0.01, 0.47]","32.53 [68%: 31.74, 33.31]","-32.31 [68%: -33.09, -31.52]","32.31 [68%: 31.52, 33.09]",Thrombin
simulation_mbar_espaloma-0.3.1,"0.74 [68%: 0.65, 0.82]","0.55 [68%: 0.44, 0.67]","0.73 [68%: 0.59, 0.83]","2.35 [68%: 2.09, 2.58]","-1.89 [68%: -2.17, -1.61]","2.02 [68%: 1.79, 2.26]",MCL1
simulation_mbar_gaff-2.11,"0.73 [68%: 0.67, 0.80]","0.61 [68%: 0.53, 0.68]","0.81 [68%: 0.71, 0.86]","1.71 [68%: 1.46, 1.92]","-0.87 [68%: -1.16, -0.58]","1.3 [68%: 1.07, 1.52]",MCL1
simulation_mbar_openff-2.0.0,"0.63 [68%: 0.51, 0.73]","0.47 [68%: 0.35, 0.58]","0.64 [68%: 0.49, 0.76]","1.59 [68%: 1.41, 1.75]","-0.84 [68%: -1.12, -0.57]","1.33 [68%: 1.15, 1.5]",MCL1
simulation_dg-c2-pb_espaloma-0.3.1,"0.45 [68%: 0.28, 0.60]","0.35 [68%: 0.21, 0.50]","0.47 [68%: 0.29, 0.63]","14.9 [68%: 13.32, 16.31]","13.01 [68%: 11.55, 14.46]","13.01 [68%: 11.55, 14.46]",MCL1
simulation_dg-c2-pb_gaff-2.11,"0.75 [68%: 0.68, 0.81]","0.59 [68%: 0.50, 0.67]","0.78 [68%: 0.68, 0.84]","15.68 [68%: 14.49, 16.78]","14.47 [68%: 13.26, 15.69]","14.47 [68%: 13.26, 15.69]",MCL1
simulation_dg-c2-pb_openff-2.0.0,"0.71 [68%: 0.62, 0.80]","0.49 [68%: 0.39, 0.60]","0.69 [68%: 0.56, 0.78]","16.34 [68%: 14.99, 17.57]","14.76 [68%: 13.38, 16.14]","14.85 [68%: 13.48, 16.19]",MCL1
