,pearson,kendall,spearman,rmse,mse,mue,source
simulation_dg-c2-gb_gaff-2.11,"0.40 [68%: -0.10, 0.61]","0.16 [68%: -0.13, 0.44]","0.21 [68%: -0.17, 0.56]","26.7 [68%: 9.38, 36.53]","2.68 [68%: -6.1, 11.43]","15.04 [68%: 7.61, 22.26]",CyclophilinD
simulation_dg-c2-gb_openff-2.0.0,"0.54 [68%: 0.38, 0.73]","0.42 [68%: 0.16, 0.69]","0.56 [68%: 0.21, 0.81]","24.55 [68%: 14.29, 31.57]","-4.63 [68%: -12.52, 3.34]","18.26 [68%: 12.99, 23.53]",CyclophilinD
simulation_dg-ie-pb_espaloma-0.3.1,"0.93 [68%: 0.89, 0.99]","0.69 [68%: 0.55, 0.84]","0.87 [68%: 0.71, 0.93]","17.14 [68%: 14.66, 19.33]","-15.57 [68%: -17.87, -13.29]","15.57 [68%: 13.29, 17.87]",CyclophilinD
simulation_dg-ie-pb_gaff-2.11,"0.83 [68%: 0.74, 0.91]","0.60 [68%: 0.45, 0.75]","0.79 [68%: 0.62, 0.88]","13.39 [68%: 11.56, 15.01]","-12.13 [68%: -13.93, -10.36]","12.13 [68%: 10.36, 13.93]",CyclophilinD
simulation_dg-ie-pb_openff-2.0.0,"0.93 [68%: 0.88, 0.97]","0.60 [68%: 0.41, 0.80]","0.78 [68%: 0.59, 0.90]","17.11 [68%: 14.97, 19.03]","-15.76 [68%: -17.85, -13.64]","15.76 [68%: 13.64, 17.85]",CyclophilinD
simulation_dg-ie-gb_espaloma-0.3.1,"0.90 [68%: 0.86, 0.96]","0.69 [68%: 0.55, 0.85]","0.87 [68%: 0.71, 0.93]","28.99 [68%: 25.43, 32.15]","-26.93 [68%: -30.35, -23.44]","26.93 [68%: 23.44, 30.35]",CyclophilinD
simulation_dg-ie-gb_gaff-2.11,"0.85 [68%: 0.79, 0.92]","0.64 [68%: 0.49, 0.80]","0.82 [68%: 0.64, 0.91]","24.53 [68%: 22.02, 26.77]","-23.12 [68%: -25.68, -20.54]","23.12 [68%: 20.54, 25.68]",CyclophilinD
simulation_dg-ie-gb_openff-2.0.0,"0.94 [68%: 0.91, 0.97]","0.64 [68%: 0.46, 0.81]","0.82 [68%: 0.64, 0.92]","28.53 [68%: 25.73, 31.06]","-26.93 [68%: -29.9, -23.93]","26.93 [68%: 23.93, 29.9]",CyclophilinD
simulation_dh-pb_espaloma-0.3.1,"0.92 [68%: 0.88, 0.97]","0.60 [68%: 0.45, 0.76]","0.82 [68%: 0.64, 0.89]","23.58 [68%: 20.93, 25.9]","-22.21 [68%: -24.7, -19.7]","22.21 [68%: 19.7, 24.7]",CyclophilinD
simulation_dh-pb_gaff-2.11,"0.82 [68%: 0.73, 0.90]","0.56 [68%: 0.40, 0.71]","0.77 [68%: 0.59, 0.86]","19.96 [68%: 18.02, 21.68]","-19.1 [68%: -20.92, -17.23]","19.1 [68%: 17.23, 20.92]",CyclophilinD
simulation_dh-pb_openff-2.0.0,"0.93 [68%: 0.88, 0.97]","0.56 [68%: 0.38, 0.75]","0.77 [68%: 0.57, 0.88]","23.05 [68%: 20.89, 25.02]","-22.0 [68%: -24.19, -19.83]","22.0 [68%: 19.83, 24.19]",CyclophilinD
simulation_dh-gb_espaloma-0.3.1,"0.91 [68%: 0.87, 0.97]","0.64 [68%: 0.51, 0.79]","0.84 [68%: 0.68, 0.90]","35.37 [68%: 31.55, 38.78]","-33.57 [68%: -37.1, -29.99]","33.57 [68%: 29.99, 37.1]",CyclophilinD
simulation_dh-gb_gaff-2.11,"0.89 [68%: 0.84, 0.94]","0.60 [68%: 0.44, 0.75]","0.79 [68%: 0.62, 0.89]","31.05 [68%: 28.45, 33.43]","-30.09 [68%: -32.54, -27.62]","30.09 [68%: 27.62, 32.54]",CyclophilinD
simulation_dh-gb_openff-2.0.0,"0.96 [68%: 0.94, 0.98]","0.64 [68%: 0.47, 0.83]","0.82 [68%: 0.64, 0.92]","34.43 [68%: 31.48, 37.1]","-33.18 [68%: -36.09, -30.2]","33.18 [68%: 30.2, 36.09]",CyclophilinD
simulation_mbar_espaloma-0.3.1,"0.97 [68%: 0.93, 0.99]","0.71 [68%: 0.47, 1.00]","0.86 [68%: 0.67, 1.00]","2.95 [68%: 2.71, 3.17]","-2.88 [68%: -3.13, -2.62]","2.88 [68%: 2.62, 3.13]",SAMPL6-OA
simulation_mbar_gaff-2.11,"nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]",SAMPL6-OA
simulation_mbar_openff-2.0.0,"nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]",SAMPL6-OA
simulation_dg-c2-pb_espaloma-0.3.1,"0.90 [68%: 0.73, 0.98]","0.81 [68%: 0.65, 1.00]","0.93 [68%: 0.77, 1.00]","5.13 [68%: 4.47, 5.69]","4.51 [68%: 3.54, 5.45]","4.75 [68%: 4.0, 5.48]",SAMPL6-OA
simulation_dg-c2-pb_gaff-2.11,"nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]",SAMPL6-OA
simulation_dg-c2-pb_openff-2.0.0,"nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]",SAMPL6-OA
simulation_dg-c2-gb_espaloma-0.3.1,"0.86 [68%: 0.57, 0.99]","0.71 [68%: 0.53, 1.00]","0.86 [68%: 0.67, 1.00]","4.25 [68%: 3.69, 4.73]","3.89 [68%: 3.24, 4.55]","3.89 [68%: 3.24, 4.55]",SAMPL6-OA
simulation_dg-c2-gb_gaff-2.11,"nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]",SAMPL6-OA
simulation_dg-c2-gb_openff-2.0.0,"nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]",SAMPL6-OA
simulation_dg-ie-pb_espaloma-0.3.1,"0.97 [68%: 0.94, 0.99]","0.90 [68%: 0.79, 1.00]","0.96 [68%: 0.89, 1.00]","4.42 [68%: 3.75, 5.01]","-4.09 [68%: -4.78, -3.39]","4.09 [68%: 3.39, 4.78]",SAMPL6-OA
simulation_dg-ie-pb_gaff-2.11,"nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]",SAMPL6-OA
simulation_dg-ie-pb_openff-2.0.0,"nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]",SAMPL6-OA
simulation_dg-ie-gb_espaloma-0.3.1,"0.93 [68%: 0.90, 0.97]","0.81 [68%: 0.60, 1.00]","0.89 [68%: 0.70, 1.00]","4.81 [68%: 4.44, 5.15]","-4.7 [68%: -5.07, -4.34]","4.7 [68%: 4.34, 5.07]",SAMPL6-OA
simulation_dg-ie-gb_gaff-2.11,"nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]",SAMPL6-OA
simulation_dg-ie-gb_openff-2.0.0,"nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]",SAMPL6-OA
simulation_dh-pb_espaloma-0.3.1,"0.97 [68%: 0.96, 0.99]","0.90 [68%: 0.79, 1.00]","0.96 [68%: 0.89, 1.00]","8.41 [68%: 7.72, 9.06]","-8.23 [68%: -8.9, -7.58]","8.23 [68%: 7.58, 8.9]",SAMPL6-OA
simulation_dh-pb_gaff-2.11,"nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]",SAMPL6-OA
simulation_dh-pb_openff-2.0.0,"nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]",SAMPL6-OA
simulation_dh-gb_espaloma-0.3.1,"0.91 [68%: 0.89, 0.97]","0.71 [68%: 0.53, 1.00]","0.86 [68%: 0.67, 1.00]","8.92 [68%: 8.47, 9.36]","-8.85 [68%: -9.27, -8.42]","8.85 [68%: 8.42, 9.27]",SAMPL6-OA
simulation_dh-gb_gaff-2.11,"nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]",SAMPL6-OA
simulation_dh-gb_openff-2.0.0,"nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]","nan [68%: nan, nan]",SAMPL6-OA
