,ligand,MBAR,MBAR_sem,MBAR_uncertainty_propagation,MBAR_num_replicas,TI,TI_sem,TI_uncertainty_propagation,TI_num_replicas
0,lig_ejm_31,-9.251141794438299,1.1610292526993211,0.08608569798019203,3,-8.930086333667395,1.1581654032504864,0.08737982280674403,3
1,lig_ejm_42,-9.797488214830658,0.7454195381216671,0.08632043055366002,3,-9.617537812858794,0.7037923263516502,0.08826704880222817,3
2,lig_ejm_43,-7.092993951681294,1.4761288995675867,0.09102458136598665,3,-6.744796604616798,1.5420910376722063,0.09345816773542992,3
3,lig_ejm_45,-9.760461532544051,1.1484973218636023,0.09324856027620064,3,-9.57786599569733,1.1731983616912973,0.09431025172199224,3
4,lig_ejm_46,-10.226435729072024,0.0221761544785061,0.08639357133966771,3,-10.088757921150053,0.07980173193958029,0.08670432848294882,3
5,lig_ejm_47,-9.454919380868649,1.441535306099939,0.09239438890183363,3,-9.24083766227178,1.5595122315079977,0.09297200246226124,3
6,lig_ejm_48,-9.080239712152109,1.3373268648281482,0.09290691089348983,3,-8.670095173995081,1.3913489652232345,0.09376502465230376,3
7,lig_ejm_50,-10.719985856730018,0.7821324548459047,0.08761559764393757,3,-10.592965207441736,0.877256688536669,0.0891457661106611,3
8,lig_ejm_54,-12.536254655983422,0.5089265751722196,0.09015072725853761,3,-12.28240495567303,0.37501176438408595,0.09182954477212078,3
9,lig_ejm_55,-9.660865408482593,1.363233356955764,0.08665593227834308,3,-9.487234457038866,1.4060557601847243,0.08837889779850326,3
10,lig_jmc_23,-10.00234339747834,0.5754568496425639,0.08936601468364673,3,-9.690268879058776,0.47761603237449063,0.0904290131964523,3
11,lig_jmc_27,-11.333262510229453,1.146720377361175,0.0903253985223205,3,-11.063647002541146,1.0274771124083915,0.09332379240065684,3
12,lig_jmc_28,-9.916940175365013,0.7891158823548305,0.09275727538031119,3,-9.665362306248445,0.6774258082577042,0.0941565134397992,3
