,ligand,MBAR,MBAR_sem,MBAR_uncertainty_propagation,MBAR_num_replicas,TI,TI_sem,TI_uncertainty_propagation,TI_num_replicas
0,lig_27,-7.5748924091453915,0.23552041284153113,0.092421607127275,3,-7.46615821888583,0.2340365454169066,0.09852296725116198,3
1,lig_28,-6.417333159125385,0.6102859694083739,0.11278655650640507,3,-6.5599272545279534,0.5751319629264483,0.11733454536764988,3
2,lig_30,-8.097287625646612,0.4372604697500143,0.10324603144821938,3,-8.00753757287392,0.48067709607015957,0.1071676541910346,3
3,lig_31,-9.78022859981002,0.231054354755924,0.10195739258187173,3,-9.733515988815006,0.15979313645286305,0.10453980665020893,3
4,lig_32,-8.096669117668023,0.16430724951003395,0.10013246122476095,3,-8.168663377758929,0.21665050101178868,0.10511119650965829,3
5,lig_33,-9.414362991590895,0.2928297311037465,0.08835196376700405,3,-9.280069413550097,0.19524886462402702,0.09234527189836424,3
6,lig_34,-9.409327552299692,0.6012323276703909,0.10478108333940046,3,-9.364161508473615,0.6255718842579726,0.10766172604566165,3
7,lig_35,-11.189015200559211,0.22250571742575836,0.1030602575365792,3,-11.090231942450734,0.41253388227506843,0.10566668068602342,3
8,lig_36,-8.530988135863721,0.158857604169459,0.10231351102993949,3,-8.545221779538396,0.17795965250442017,0.10388348782810543,3
9,lig_37,-10.503912825337148,1.0178132162250224,0.10814735474129722,3,-10.605203814141872,0.9981237199345208,0.10793833988165706,3
10,lig_43,-10.617542140277548,0.908058844656283,0.10243849201155579,3,-10.582028164792812,0.7209181308289637,0.10549584687752507,3
11,lig_46,-10.415686358603404,0.33933716698332017,0.09849328869807196,3,-10.057664340279713,0.3771402972946439,0.10192373938769697,3
12,lig_47,-6.2193081453288,0.7688826512016946,0.10045098547975095,3,-6.260323092472333,0.7979181474014283,0.10251653538797399,3
13,lig_48,-5.160604396707395,0.33107205909974186,0.11290773962979146,3,-5.679817024170056,0.3929854907087163,0.11590865845325225,3
14,lig_49,-10.207542222625102,0.42915959071874665,0.10447676706612467,3,-10.208597446181493,0.4571330935549183,0.10508170291711409,3
15,lig_50,-9.64455929207501,0.7202851091981226,0.11263364873740128,3,-9.71757198276975,0.8753708851702247,0.11286067472920129,3
16,lig_52,-11.213054012088655,0.3551584959121008,0.10329659790152323,3,-11.38855494309523,0.18679613349075425,0.10557950219587335,3
17,lig_53,-12.457221293255502,0.9692552616337211,0.10590682990922017,3,-12.40728779585495,0.8481313592718549,0.10695056769355982,3
18,lig_56,-10.921770401113642,0.9122344231426105,0.1083494339358515,3,-10.913999733373755,0.9833910763287258,0.10949431223743701,3
19,lig_58,-11.71472158815053,0.686984170371237,0.11319737347415165,3,-11.762831868752576,0.6131595493137009,0.11352520584389092,3
20,lig_60,-10.937843967092277,0.1238159713526356,0.10949645036337352,3,-10.859715639625648,0.3271304834162593,0.11170620245896569,3
21,lig_61,-10.705236683127668,0.21948419775468847,0.10853169555727289,3,-10.809626958745419,0.3047184679344002,0.11086577707392492,3
22,lig_63,-12.30868224788662,0.3689997581508292,0.10965228237330597,3,-12.278510154686673,0.39311419714536816,0.10856880319884438,3
23,lig_65,-12.702440753669757,0.9582666550573969,0.10961448434151186,3,-12.576492133330632,0.9227084747376758,0.11077267458607903,3
24,lig_67,-12.446459690727261,1.105071198550454,0.1037760408466506,3,-12.502275045082909,0.933952178242468,0.10719972057470888,3
