,index,ligand,MBAR,MBAR_sem,MBAR_uncertainty_propagation,MBAR_num_replicas,TI,TI_sem,TI_uncertainty_propagation,TI_num_replicas
0,3,ligand-14,-13.772880721423325,0.5633160473099645,0.08762331724087306,5,-13.638480910598101,0.549033344278555,0.0864164963505027,5
1,8,ligand-2,-11.860364807465427,0.1767437530714531,0.07249633338670596,5,-11.64142528136027,0.10375226296807775,0.07409775214780362,5
2,5,ligand-27,-11.094448860657451,1.0065652897233357,0.0683257994578086,5,-10.976583666692147,0.892666245790999,0.07098383099229447,5
3,2,ligand-39,-11.008520125182194,0.5845375643341761,0.07162370808898454,5,-10.593583245379337,0.5601097901483095,0.07337604160738398,5
4,7,ligand-16,-9.97134499676136,0.4537870713124065,0.08417326096801868,5,-9.784828434926737,0.3936858247851877,0.08266421313197196,5
5,6,ligand-40,-9.287990634223842,0.9446002228680648,0.07585556194955365,5,-9.058425490603751,0.885725581207645,0.07791218891963073,5
6,1,ligand-8,-7.373588528181467,0.3134783686861192,0.0529045902034037,5,-7.244890345116048,0.33937220803551044,0.05640943026036701,5
7,0,ligand-4,-5.257174208697002,1.0744022393992867,0.052124192246460484,5,-4.657836332283762,1.2532895126017851,0.05887385880504791,5
8,4,ligand-7,-5.072858682922812,0.11169221631969099,0.048288463431566585,5,-4.925768219461583,0.1549775342511624,0.052379166915393655,5
9,9,ligand-3,-4.165633025702682,0.5325178899987985,0.04792657291151268,5,-15.333833721334738,11.48192956084265,0.6670963925864495,5
