,ligand,MBAR,MBAR_sem,MBAR_uncertainty_propagation,MBAR_num_replicas,TI,TI_sem,TI_uncertainty_propagation,TI_num_replicas
0,lig_27,-6.891967017476204,0.5639532854613609,0.09280781911914097,3,-6.71347090686541,0.42877653206934924,0.10117215782792961,3
1,lig_28,-6.976998671663124,0.8905699425890484,0.10874756727375275,3,-7.060701670116827,0.8009228313511417,0.11457461075209742,3
2,lig_30,-7.417434116334885,0.25951892955342043,0.10169362444055463,3,-7.401884499081035,0.36239234272111287,0.1078426405971655,3
3,lig_31,-7.158434486364757,0.315971949241193,0.10326779308355709,3,-7.660248828870013,0.672817278314471,0.10908857827981504,3
4,lig_32,-7.606603406815434,0.03130290269629875,0.09625933523444863,3,-7.701949590946952,0.017370820892305558,0.10133023377821614,3
5,lig_33,-7.8174074505948825,0.6355036587686229,0.09383320539879753,3,-8.112321210106336,0.4840262788285831,0.10127666337126814,3
6,lig_34,-9.21666704707576,0.6081541759023037,0.10053216630288236,3,-9.144384855153547,0.45119463965051493,0.10549054039902073,3
7,lig_35,-7.932992359802852,0.761639925561271,0.10889327484697742,3,-7.949528046169885,0.7680775584748942,0.11318223015487702,3
8,lig_36,-8.323894975738986,0.14887471772614622,0.10725675795855172,3,-8.402104203714453,0.13983046685310055,0.11291341508096299,3
9,lig_37,-9.456306121959566,0.5226706107322568,0.11229500861309238,3,-9.4851537939239,0.5695176655294762,0.11549641868920502,3
10,lig_43,-7.239510012568705,0.23170984861514282,0.10341942069233158,3,-6.9926545426158055,0.15302555584026495,0.10603207716453576,3
11,lig_46,-7.622718223455029,0.784435158516605,0.10805735080771772,3,-7.552236895864326,0.5941067528449544,0.11401398581432341,3
12,lig_47,-7.277600105469446,0.555134938987454,0.10591205488130352,3,-7.300047373782782,0.6181588456604576,0.1104008478101806,3
13,lig_48,-3.735619681360326,0.45612673431704853,0.11096598050954011,3,-3.730194264316223,0.4952441747878211,0.11730990667735887,3
14,lig_49,-8.662797391805094,0.6422290575732946,0.10627672499149746,3,-8.718925907433464,0.7515915911352932,0.10817691107769684,3
15,lig_50,-10.024384945458545,1.0095882415259811,0.11475263055543537,3,-9.851445890371576,0.9783489250229616,0.1171276545476019,3
16,lig_52,-9.359644999333476,0.3610322337235257,0.107226853712512,3,-9.542233932319785,0.39219998872626766,0.11385878642118086,3
17,lig_53,-11.939428512419918,0.6752256168647608,0.11242243990328439,3,-11.846225041226674,0.5975877108724986,0.11724806137807128,3
18,lig_56,-12.140692478443137,0.20209450073186414,0.11419841459874198,3,-11.954503235866563,0.17123246273394035,0.11770530926906815,3
19,lig_58,-13.117993363602613,0.5799239174474747,0.1143380801473202,3,-13.080771013131672,0.6038078075774974,0.11551831989188575,3
20,lig_60,-8.605434570474788,0.18376197318206033,0.11557637026837075,3,-8.697895698743576,0.19816418013609813,0.11838906616963743,3
21,lig_61,-9.339903736035092,0.23391226211628965,0.11478750616323986,3,-9.200115003930762,0.09734709735057236,0.11658285693679013,3
22,lig_63,-12.215418556897314,0.7006418271836066,0.11117688112930801,3,-11.873392809055487,0.5229255404831084,0.11387269253346151,3
23,lig_65,-11.392097760489563,0.3904953801353921,0.11546984027466939,3,-11.272570471768676,0.27881812715622656,0.11771850065826468,3
24,lig_67,-9.855812379016454,0.6497903602932712,0.10483267158705867,3,-9.927245407839727,0.5285168934322048,0.11139046355127336,3
