,ligand,MBAR,MBAR_sem,MBAR_uncertainty_propagation,MBAR_num_replicas,TI,TI_sem,TI_uncertainty_propagation,TI_num_replicas
0,lig_p38a_2aa,-11.75385927730507,1.2730727253258194,0.09583456261536864,3,-11.501421069250576,1.3220460250604973,0.09798912531021328,3
1,lig_p38a_2bb,-15.582165282432525,1.7008712822585834,0.09884559027574034,3,-15.482803296242608,1.6155645363870808,0.09981770096185748,3
2,lig_p38a_2e,-14.2843275651573,0.1781185362962554,0.08715364489325972,3,-14.107348149590749,0.1405339439336952,0.08964939670538541,3
3,lig_p38a_2ee,-15.006715152878852,1.7600157954594298,0.09613926514888689,3,-14.90724190440136,1.6248801629220075,0.09816213192930481,3
4,lig_p38a_2f,-14.220465566824828,1.7276677217305925,0.08787785671698474,3,-13.948917896241156,1.796121071318712,0.08835430181537454,3
5,lig_p38a_2ff,-15.24409685009639,0.5315185592051807,0.09287192195487629,3,-15.090859464793226,0.5810001961461401,0.0960658001752037,3
6,lig_p38a_2g,-14.670299551472752,1.008392526215117,0.09179649237975844,3,-14.469163318537447,1.0727796346400316,0.09452199019879746,3
7,lig_p38a_2gg,-12.208404917944533,0.14880048450754452,0.09450252983717897,3,-13.071360287145955,0.37179011570851944,0.10049429629037863,3
8,lig_p38a_2h,-16.215890380032192,1.6388444584000885,0.09387190632625726,3,-16.019184887778824,1.5782953799908044,0.09557824309272926,3
9,lig_p38a_2i,-11.597730662894582,0.44781139803706743,0.08395942125521963,3,-11.414403321600977,0.5766667161602865,0.08551638731976532,3
10,lig_p38a_2j,-8.561906712518164,2.5940922381979674,0.09296084842824841,3,-8.758190304587037,2.4919609072144464,0.09376827565990077,3
11,lig_p38a_2k,-12.322154587491198,0.8442899114072547,0.09055104327601057,3,-12.25256538614331,0.9037542027066267,0.09278035964833312,3
12,lig_p38a_2l,-13.95426409546844,0.5515060394428356,0.09127120803044075,3,-13.968460183304783,0.5014843163213775,0.09483503739584183,3
13,lig_p38a_2m,-14.59602586879628,0.443620939996578,0.09074541034806007,3,-14.299585692795377,0.4362080350272947,0.09124161366364303,3
14,lig_p38a_2n,-14.866212230427351,1.33002517941253,0.09503529973340011,3,-14.759810545053973,1.2564948404134861,0.09399847152580104,3
15,lig_p38a_2o,-11.163210911366862,0.4766215571795274,0.11117590031699108,3,-10.804781476543182,0.6365215378052046,0.11250317097969224,3
16,lig_p38a_2p,-13.356929495943744,0.07498246459843572,0.10719017381388285,3,-13.013274663846998,0.07960590481262399,0.10682109790595297,3
17,lig_p38a_2r,-14.473553586400746,2.012410094725097,0.11084656799822508,3,-14.534425266125913,1.9191955952634658,0.11450669946594023,3
18,lig_p38a_2s,-12.548994695995662,0.535051635414892,0.10527163208433644,3,-12.198273003616796,0.563326873015509,0.10650803867799682,3
19,lig_p38a_2t,-15.019503108037206,0.5865819019631884,0.09503469111186949,3,-14.79642603397685,0.574797179921059,0.09749200305542093,3
20,lig_p38a_2v,-10.981644094293182,0.5969148129348159,0.07639545256180244,3,-10.875598019036948,0.5819813004005829,0.07784262911278995,3
21,lig_p38a_2x,-13.991681947088132,0.47953063409424573,0.08527915543754759,3,-13.812400667379455,0.5424317234914845,0.0885081564312138,3
22,lig_p38a_2y,-11.879978718913266,0.7233745997515965,0.09643138988198101,3,-11.933439002195785,0.5257792895031036,0.09788853170925563,3
23,lig_p38a_2z,-13.559695517423899,0.8182407644485178,0.09116830595382823,3,-13.567099267732152,0.8831979217986439,0.09348531619720142,3
24,lig_p38a_3fln,-13.675002947497731,0.8180340909494495,0.0902405362500108,3,-13.537497484708851,0.8666799174893088,0.09267699941546959,3
25,lig_p38a_3flw,-13.884056215580602,0.38983317232446746,0.10473351051773275,3,-13.785381092183252,0.46613407248029526,0.10740551691346717,3
26,lig_p38a_3fly,-11.888878446587354,0.1975259376160779,0.08470668383287658,3,-11.916764304964422,0.17119062737611557,0.08757752725986111,3
27,lig_p38a_3flz,-11.496146657920015,0.17058936439075942,0.08615753186319726,3,-11.396727492997021,0.12768808475144508,0.08865510775771998,3
28,lig_p38a_3fmh,-14.826419822680672,0.5404210252857575,0.09323994905284762,3,-14.573339698401464,0.7245642235859344,0.09742992931553592,3
