,system_name,system_type,num_atoms,simu_id,equi_time_seconds,cpu,gpu,performace_ns_day
32,A2A,complex,84996,gpu:RTX1070:1,391.0,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,NVIDIA GeForce GTX 1070,60.001
33,A2A,ligand,5005,gpu:A4000:1,8.0,AMD Ryzen Threadripper PRO 3975WX 32-Cores,NVIDIA RTX A4000,970.316
34,A2A,ligand,5005,gpu:RTX1070Ti:1,19.0,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,NVIDIA GeForce GTX 1070 Ti,564.568
35,A2A,ligand,5005,gpu:RTX1070:1,20.0,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,NVIDIA GeForce GTX 1070,560.34
36,CyclophilinD,complex,31857,gpu:A4000:1,42.0,AMD Ryzen Threadripper PRO 3975WX 32-Cores,NVIDIA RTX A4000,402.948
37,CyclophilinD,complex,31857,gpu:RTX1070Ti:1,79.0,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,NVIDIA GeForce GTX 1070 Ti,195.47
38,CyclophilinD,complex,31857,gpu:RTX1070:1,105.0,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,NVIDIA GeForce GTX 1070,180.321
39,CyclophilinD,ligand,7304,gpu:A4000:1,10.0,AMD Ryzen Threadripper PRO 3975WX 32-Cores,NVIDIA RTX A4000,759.492
40,CyclophilinD,ligand,7304,gpu:RTX1070Ti:1,28.0,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,NVIDIA GeForce GTX 1070 Ti,421.925
41,CyclophilinD,ligand,7304,gpu:RTX1070:1,27.0,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,NVIDIA GeForce GTX 1070,430.275
42,p38,complex,86364,gpu:A4000:1,118.0,AMD Ryzen Threadripper PRO 3975WX 32-Cores,NVIDIA RTX A4000,157.781
43,p38,complex,86364,gpu:RTX1070Ti:1,245.0,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,NVIDIA GeForce GTX 1070 Ti,67.924
44,p38,complex,86364,gpu:RTX1070:1,204.0,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,NVIDIA GeForce GTX 1070,62.827
45,p38,ligand,6802,gpu:A4000:1,10.0,AMD Ryzen Threadripper PRO 3975WX 32-Cores,NVIDIA RTX A4000,870.327
46,p38,ligand,6802,gpu:RTX1070Ti:1,21.0,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,NVIDIA GeForce GTX 1070 Ti,501.999
47,p38,ligand,6802,gpu:RTX1070:1,23.0,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,NVIDIA GeForce GTX 1070,491.267
